"filename", "language", "Markdown", "JavaScript", "XML", "HTML", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\exit.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\haghe-tadris.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\keshoyeee-sabz.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\keshoyeee.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\logoaqua.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\profile.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\quiz.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\recipt-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\security.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\upload.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\AvailableCourses.js", "JavaScript", 0, 209, 0, 0, 0, 0, 0, 5, 214
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\CourseVideos.js", "JavaScript", 0, 245, 0, 0, 0, 0, 0, 8, 253
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\Courses.css", "CSS", 0, 0, 0, 0, 7, 0, 1, 2, 10
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\CoursesInProgress.js", "JavaScript", 0, 200, 0, 0, 0, 0, 0, 5, 205
"c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\PassedCourses.js", "JavaScript", 0, 128, 0, 0, 0, 0, 0, 5, 133
